264816896,3,Premium,Booked
240471168,2,General,Booked
285200976,4,Premium,Booked
285200976,2,Premium,Booked
317434088,2,Premium,Booked
310908858,2,General,Booked
322273872,2,General,Booked
256558303,3,Premium,WaitL
302548590,2,General,WaitL
284965676,3,Premium,WaitL
277292710,3,General,WaitL
331160133,3,General,WaitL
331293204,3,General,WaitL
290123298,3,General,WaitL
286411536,4,Premium,Booked
294860856,4,Premium,Booked
317434088,4,Premium,Booked
310908858,4,Premium,Booked
322273872,4,Premium,Booked
256558303,4,Premium,Booked
302548590,4,Premium,Booked
284965676,4,General,Booked
277292710,4,General,Booked
331160133,4,General,Booked
331293204,4,General,Booked
